fname	TimeSig	KeySig	last_mc	last_mn	length_qb	last_mc_unfolded	last_mn_unfolded	length_qb_unfolded	volta_mcs	all_notes_qb	n_onsets	n_onset_positions	guitar_chord_count	form_label_count	label_count	harmony_version	annotated_key	annotators	reviewers	score_integrity	composed_start	composed_end	composed_source	composer	workTitle	movementNumber	movementTitle	workNumber	imslp	musicbrainz	viaf	wikidata	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	musescore	ms3_version	title_text	subtitle_text	composer_text	has_drumset	ambitus	comments	originalFormat	pdf	subdirectory	rel_path	staff_1_ambitus	staff_1_instrument	staff_2_ambitus	staff_2_instrument	staff_3_ambitus	staff_3_instrument
op12n01	1: 2/4	1: -3	23	23	46	23	23	46		135.5	268	156	0	0	43	2.3.0	Eb	"Adrian Nagel (2.1.1), John Heilig (2.30)"	Adrian Nagel	Tom Schreyer	1864	1867	OxfordMusicOnline	Edvard Grieg	Lyric Pieces	1	Arietta	Op. 12	"https://imslp.org/wiki/Lyric_Pieces,_Op.12_(Grieg,_Edvard)"	https://musicbrainz.org/work/b6115546-141a-3366-9e3c-77c1459d21f8		https://www.wikidata.org/wiki/Q2304758					10/11/18	3.02	Microsoft Windows			3.6.2	1.0.2	Arietta		Edvard Grieg	FALSE	39-55 (Eb2-G3)		mxl	"https://imslp.eu/files/imglnks/euimg/8/8e/IMSLP186423-PMLP01776-Grieg,_Edvard-Samlede_Verker_Peters_Band_1_01_Op_12_scan.pdf#page=1"	MS3	MS3/op12n01.mscx	55-55 (G3-G3)		39-39 (Eb2-Eb2)			
op12n02	1: 3/4	"1: 0, 37: 3, 53: 0, 71: 3"	79	79	237	79	79	237		731	627	285	0	0	125	2.3.0	a	"Adrian Nagel (2.1.0), John Heilig (2.3.0)"	Adrian Nagel	Tom Schreyer	1864	1867	OxfordMusicOnline	Edvard Grieg	Lyric Pieces	2	Vals	Op. 12	"https://imslp.org/wiki/Lyric_Pieces,_Op.12_(Grieg,_Edvard)"	https://musicbrainz.org/work/45b7d225-3993-397f-b853-00bae7286077		https://www.wikidata.org/wiki/Q2304758					10/11/18	3.02	Microsoft Windows			3.6.2	1.0.2	Walzer		"Edvard Grieg Op. 12, Nr. 2"	FALSE	33-59 (A1-B3)		cap	"https://imslp.eu/files/imglnks/euimg/8/8e/IMSLP186423-PMLP01776-Grieg,_Edvard-Samlede_Verker_Peters_Band_1_01_Op_12_scan.pdf#page=2"	MS3	MS3/op12n02.mscx	59-59 (B3-B3)	unbenannt	33-33 (A1-A1)	unbenannt		
op12n03	1: 2/2	"1: 4, 26: 1, 41: 4"	53	52	209	53	52	209		598	519	245	0	0	110	2.3.0	E	"Adrian Nagel (2.1.1), John Heilig (2.3.0)"	Adrian Nagel	Tom Schreyer	1864	1867	OxfordMusicOnline	Edvard Grieg	Lyric Pieces	3	Vektersang	Op. 12	"https://imslp.org/wiki/Lyric_Pieces,_Op.12_(Grieg,_Edvard)"	https://musicbrainz.org/work/4f015f17-29a8-3e53-989f-cc7f2fa2babf		https://www.wikidata.org/wiki/Q2304758					10/11/18	3.02	Microsoft Windows			3.6.2	1.0.2	Wächterlied		"Edvard Grieg, Op. 12 No.3"	FALSE	40-56 (E2-G#3)		xml	"https://imslp.eu/files/imglnks/euimg/8/8e/IMSLP186423-PMLP01776-Grieg,_Edvard-Samlede_Verker_Peters_Band_1_01_Op_12_scan.pdf#page=4"	MS3	MS3/op12n03.mscx	56-56 (G#3-G#3)	Midi_1	40-40 (E2-E2)	Midi_1		
op12n04	1: 3/4	1:01	72	72	216	72	72	216		593.5	732	334	0	0	97	2.3.0	e	"Adrian Nagel (2.1.1), John Heilig (2.3.0)"	Adrian Nagel	Tom Schreyer	1864	1867	OxfordMusicOnline	Edvard Grieg	Lyric Pieces	4	Alfedans	Op. 12	"https://imslp.org/wiki/Lyric_Pieces,_Op.12_(Grieg,_Edvard)"	https://musicbrainz.org/work/0240b972-5f42-30b7-acbb-0b9e28c69b42		https://www.wikidata.org/wiki/Q2304758					10/11/18	3.02	Microsoft Windows	https://musescore.com/user/9292486/scores/5219569		3.6.2	1.0.2	Elfin Dance		"Edvard Grieg Op 12, No. 4"	FALSE	40-54 (E2-F#3)		mxl	"https://imslp.eu/files/imglnks/euimg/8/8e/IMSLP186423-PMLP01776-Grieg,_Edvard-Samlede_Verker_Peters_Band_1_01_Op_12_scan.pdf#page=6"	MS3	MS3/op12n04.mscx	54-54 (F#3-F#3)	Grand Piano	40-40 (E2-E2)	Grand Piano		
op12n05	1: 3/4	1:03	41	40	121	41	40	121		460	473	186	0	0	109	2.3.0	f#	"Adrian Nagel (2.1.1), John Heilig (2.3.0)"	Adrian Nagel	Tom Schreyer	1864	1867	OxfordMusicOnline	Edvard Grieg	Lyric Pieces	5	Folkevise	Op. 12	"https://imslp.org/wiki/Lyric_Pieces,_Op.12_(Grieg,_Edvard)"	https://musicbrainz.org/work/ce4b0bb1-7bd8-3290-b0d8-b69c841d40fc		https://www.wikidata.org/wiki/Q2304758					12/7/18	3.02	Microsoft Windows	Scanned sheet music		3.6.2	1.0.2	Volksweise		Grieg (1843-1907)	FALSE	40-56 (E2-G#3)		xml	"https://imslp.eu/files/imglnks/euimg/8/8e/IMSLP186423-PMLP01776-Grieg,_Edvard-Samlede_Verker_Peters_Band_1_01_Op_12_scan.pdf#page=8"	MS3	MS3/op12n05.mscx	56-56 (G#3-G#3)	S.	40-40 (E2-E2)	S.		
op12n06	1: 3/4	"1: 2, 25: -1, 49: 2"	56	56	168	56	56	168		729	544	241	0	0	126	2.3.0	D	"Adrian Nagel (2.1.1), John Heilig (2.3.0)"	Adrian Nagel	Tom Schreyer	1864	1867	OxfordMusicOnline	Edvard Grieg	Lyric Pieces	6	Norsk	Op. 12	"https://imslp.org/wiki/Lyric_Pieces,_Op.12_(Grieg,_Edvard)"	https://musicbrainz.org/work/afd31d11-36f7-3932-9eb4-b0ac3e386445		https://www.wikidata.org/wiki/Q2304758					10/11/18	3.02	Microsoft Windows			3.6.2	1.0.2	Norwegisch		Edvard Grieg	FALSE	31-55 (G1-G3)		cap	"https://imslp.eu/files/imglnks/euimg/8/8e/IMSLP186423-PMLP01776-Grieg,_Edvard-Samlede_Verker_Peters_Band_1_01_Op_12_scan.pdf#page=10"	MS3	MS3/op12n06.mscx	55-55 (G3-G3)	Klavier linke Hand	31-31 (G1-G1)	Klavier linke Hand		
op12n07	1: 2/4	1:01	57	56	112.5	57	56	112.5		303	533	242	0	0	74	2.3.0	e	"Adrian Nagel (2.1.1), John Heilig (2.3.0)"	Adrian Nagel	Tom Schreyer	1864	1867	OxfordMusicOnline	Edvard Grieg	Lyric Pieces	7	Albumblad	Op. 12	"https://imslp.org/wiki/Lyric_Pieces,_Op.12_(Grieg,_Edvard)"	https://musicbrainz.org/work/7d660b81-b1b3-35ee-8850-be158026146a		https://www.wikidata.org/wiki/Q2304758					10/11/18	3.02	Microsoft Windows			3.6.2	1.0.2	Albumblatt		"Edvard Grieg, Op. 12 No.7"	FALSE	40-54 (E2-F#3)		xml	"https://imslp.eu/files/imglnks/euimg/8/8e/IMSLP186423-PMLP01776-Grieg,_Edvard-Samlede_Verker_Peters_Band_1_01_Op_12_scan.pdf#page=12"	MS3	MS3/op12n07.mscx	54-54 (F#3-F#3)	Midi_1	40-40 (E2-E2)	Midi_1		
op12n08	1: 4/4	1: -3	32	32	128	32	32	128		473	348	98	0	0	78	2.3.0	Eb	"Adrian Nagel (2.1.1), John Heilig (2.3.0)"	Adrian Nagel	Tom Schreyer	1864	1867	OxfordMusicOnline	Edvard Grieg	Lyric Pieces	8	Fedrelandssang	Op. 12	"https://imslp.org/wiki/Lyric_Pieces,_Op.12_(Grieg,_Edvard)"	https://musicbrainz.org/work/3c3e3f81-84aa-3f08-9f4e-1a53f6f4f90b		https://www.wikidata.org/wiki/Q2304758					10/11/18	3.02	Microsoft Windows			3.6.2	1.0.2	Vaterländisches Lied		"Edvard Grieg, Op. 12 No.8"	FALSE	34-51 (Bb1-Eb3)		xml	"https://imslp.eu/files/imglnks/euimg/8/8e/IMSLP186423-PMLP01776-Grieg,_Edvard-Samlede_Verker_Peters_Band_1_01_Op_12_scan.pdf#page=14"	MS3	MS3/op12n08.mscx	51-51 (Eb3-Eb3)	Midi_1	34-34 (Bb1-Bb1)	Midi_1		
op38n01	1: 2/4	"1: 1, 33: -2, 71: 1"	86	86	172	86	86	172		749	964	383	0	0	141	2.3.0	G	"Adrian Nagel (2.1.1), John Heilig (2.3.0)"	Adrian Nagel	Tom Schreyer	1883	1883	OxfordMusicOnline	Edvard Grieg	Lyric Pieces	1	Berceuse	Op. 38	"https://imslp.org/wiki/Lyric_Pieces,_Op.38_(Grieg,_Edvard)"	https://musicbrainz.org/work/bea9c22d-4143-39c6-9b5e-73f936a00719		https://www.wikidata.org/wiki/Q2304758					10/11/18	3.02	Microsoft Windows			3.6.2	1.0.2	Berceuse		"Edvard Grieg, Op. 38 No.l"	FALSE	31-58 (G1-Bb3)		xml	"https://imslp.eu/files/imglnks/euimg/5/56/IMSLP211169-PMLP01777-Grieg,_Edvard-Samlede_Verker_Peters_Band_1_02_Op_38_scan.pdf#page=1"	MS3	MS3/op38n01.mscx	58-58 (Bb3-Bb3)	Midi_1	31-31 (G1-G1)	Midi_1		
op38n02	1: 3/4	1:01	41	41	123	68	68	204		462	399	170	0	0	46	2.3.0	e	"Adrian Nagel (2.1.1), John Heilig (2.3.0)"	Adrian Nagel	Tom Schreyer	1883	1883	OxfordMusicOnline	Edvard Grieg	Lyric Pieces	2	Folkevise	Op. 38	"https://imslp.org/wiki/Lyric_Pieces,_Op.38_(Grieg,_Edvard)"	https://musicbrainz.org/work/cfdff733-6056-31cd-be23-43802349c175		https://www.wikidata.org/wiki/Q2304758					10/11/18	3.02	Microsoft Windows			3.6.2	1.0.2	Volksweise		"Edvard Grieg, Op. 38 No.2"	FALSE	28-54 (E1-F#3)		xml	"https://imslp.eu/files/imglnks/euimg/5/56/IMSLP211169-PMLP01777-Grieg,_Edvard-Samlede_Verker_Peters_Band_1_02_Op_38_scan.pdf#page=4"	MS3	MS3/op38n02.mscx	54-54 (F#3-F#3)	Midi_1	28-28 (E1-E1)	Midi_1		
