mc	mn	keysig	timesig	act_dur	offset	repeats	volta	barline	numbering_offset	dont_count	next
1	1	5	2/2	1	0	firstMeasure					2
2	2	5	2/2	1	0						3
3	3	5	2/2	1	0						4
4	4	5	2/2	1	0						5
5	5	5	2/2	1	0						6
6	6	5	2/2	1	0						7
7	7	5	2/2	1	0						8
8	8	5	2/2	1	0						9
9	9	5	2/2	1	0						10
10	10	5	2/2	1	0						11
11	11	5	2/2	1	0						12
12	12	5	2/2	1	0						13
13	13	5	2/2	1	0						14
14	14	5	2/2	1	0						15
15	15	5	2/2	1	0						16
16	16	5	2/2	1	0						17
17	17	5	2/2	1	0						18
18	18	5	2/2	1	0						19
19	19	5	2/2	1	0						20
20	20	5	2/2	1	0						21
21	21	5	2/2	1	0						22
22	22	5	2/2	1	0						23
23	23	5	2/2	1	0						24
24	24	5	2/2	1	0						25
25	25	5	2/2	1	0						26
26	26	5	2/2	1	0						27
27	27	5	2/2	1	0						28
28	28	5	2/2	1	0						29
29	29	5	2/2	1	0						30
30	30	5	2/2	1	0						31
31	31	5	2/2	1	0						32
32	32	5	2/2	1	0						33
33	33	5	2/2	1	0						34
34	34	5	2/2	1	0						35
35	35	5	2/2	1	0						36
36	36	5	2/2	1	0						37
37	37	5	2/2	1	0						38
38	38	5	2/2	1	0						39
39	39	5	2/2	1	0						40
40	40	5	2/2	1	0						41
41	41	5	2/2	1	0						42
42	42	5	2/2	1	0						43
43	43	5	2/2	1	0						44
44	44	5	2/2	1	0						45
45	45	5	2/2	1	0						46
46	46	5	2/2	1	0						47
47	47	5	2/2	1	0						48
48	48	5	2/2	1	0						49
49	49	5	2/2	1	0						50
50	50	5	2/2	1	0						51
51	51	5	2/2	1	0						52
52	52	5	2/2	1	0						53
53	53	5	2/2	1	0						54
54	54	5	2/2	1	0						55
55	55	5	2/2	1	0						56
56	56	5	2/2	1	0						57
57	57	5	2/2	1	0						58
58	58	5	2/2	1	0						59
59	59	5	2/2	1	0						60
60	60	5	2/2	1	0						61
61	61	5	2/2	1	0						62
62	62	5	2/2	1	0						63
63	63	5	2/2	1	0						64
64	64	5	2/2	1	0						65
65	65	5	2/2	1	0						66
66	66	5	2/2	1	0						67
67	67	5	2/2	1	0						68
68	68	5	2/2	1	0						69
69	69	5	2/2	1	0						70
70	70	5	2/2	1	0						71
71	71	5	2/2	1	0						72
72	72	5	2/2	1	0						73
73	73	5	2/2	1	0						74
74	74	5	2/2	1	0						75
75	75	5	2/2	1	0						76
76	76	5	2/2	1	0						77
77	77	5	2/2	1	0	lastMeasure		end			-1
