mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	5/8	6/8	1	1	.g.i{	g	i		i	i					{	m	1	1	0, -3, 1		0	0
6	5	0	0	6/8	1	1	i2	g	i		i2	i		2				mm7	1	1	-2, 0, -3, 1		0	-2
7	6	0	0	6/8	1	1	.biiM43	g	i		biiM43	bii	M	43				mM7	1	1	-4, 0, -5, -8		-5	-4
8	7	0	0	6/8	1	1	VI(9)	g	i		VI(9)	VI			9			M	1	1	-4, 0, -3	-2	-4	-4
8	7	1/8	1/8	6/8	1	1	VI	g	i		VI	VI						M	1	1	-4, 0, -3		-4	-4
8	7	3/8	3/8	6/8	1	1	V7(4)/V	g	i		V7(4)/V	V		7	4	V		Mm7	1	1	2, 1, 3, 0		2	2
8	7	1/2	1/2	6/8	1	1	V7/V	g	i		V7/V	V		7		V		Mm7	1	1	2, 6, 3, 0		2	2
9	8	0	0	6/8	1	1	V(4)}	g	i		V(4)	V			4		}	M	1	1	1, 0, 2		1	1
9	8	5/8	5/8	6/8	1	1	i{	g	i		i	i					{	m	1	1	0, -3, 1		0	0
9	8	1/4	1/4	6/8	1	2	V	g	i		V	V						M	1	1	1, 5, 2		1	1
14	13	0	0	6/8	1	1	i2	g	i		i2	i		2				mm7	1	1	-2, 0, -3, 1		0	-2
15	14	0	0	6/8	1	1	.biiM43	g	i		biiM43	bii	M	43				mM7	1	1	-4, 0, -5, -8		-5	-4
16	15	0	0	6/8	1	1	VI(9)	g	i		VI(9)	VI			9			M	1	1	-4, 0, -3	-2	-4	-4
16	15	1/8	1/8	6/8	1	1	VI	g	i		VI	VI						M	1	1	-4, 0, -3		-4	-4
16	15	3/8	3/8	6/8	1	1	V7(4)/V	g	i		V7(4)/V	V		7	4	V		Mm7	1	1	2, 1, 3, 0		2	2
16	15	1/2	1/2	6/8	1	1	V7/V	g	i		V7/V	V		7		V		Mm7	1	1	2, 6, 3, 0		2	2
17	16	0	0	6/8	1	1	V(4)}	g	i		V(4)	V			4		}	M	1	1	1, 0, 2		1	1
17	16	1/4	1/4	6/8	1	2	V	g	i		V	V						M	1	1	1, 5, 2		1	1
18	16	0	5/8	6/8	1	1	{	g	i								{		1	1				
19	17	0	0	6/8	1	1	VM65	g	i		VM65	V	M	65				MM7	1	1	5, 2, 6, 1		1	5
19	17	1/4	1/4	6/8	1	1	V65	g	i		V65	V		65				Mm7	1	1	5, 2, -1, 1		1	5
19	17	5/8	5/8	6/8	1	1	i	g	i		i	i						m	1	1	0, -3, 1		0	0
19	17	3/8	3/8	6/8	1	2	I	g	i		I	I						M	1	1	0, 4, 1		0	0
20	18	0	0	6/8	1	1	V(4)	g	i		V(4)	V			4			M	1	1	1, 0, 2		1	1
20	18	3/8	3/8	6/8	1	1	V6	g	i		V6	V		6				M	1	1	5, 2, 1		1	5
20	18	5/8	5/8	6/8	1	1	V	g	i		V	V						M	1	1	1, 5, 2		1	1
20	18	1/4	1/4	6/8	1	2	V	g	i		V	V						M	1	1	1, 5, 2		1	1
21	19	3/8	3/8	6/8	1	1	ii%43/ii	g	i		ii%43/ii	ii	%	43		ii		%7	1	1	-2, 2, 4, 1		4	-2
22	20	0	0	6/8	1	1	V(4)/ii	g	i		V(4)/ii	V			4	ii		M	1	1	3, 2, 4		3	3
22	20	1/8	1/8	6/8	1	1	V/ii	g	i		V/ii	V				ii		M	1	1	3, 7, 4		3	3
23	21	0	0	6/8	1	1	VM65/ii	g	i		VM65/ii	V	M	65		ii		MM7	1	1	7, 4, 8, 3		3	7
23	21	1/4	1/4	6/8	1	1	V65/ii	g	i		V65/ii	V		65		ii		Mm7	1	1	7, 4, 1, 3		3	7
23	21	5/8	5/8	6/8	1	1	i/ii	g	i		i/ii	i				ii		m	1	1	2, -1, 3		2	2
23	21	3/8	3/8	6/8	1	2	I/ii	g	i		I/ii	I				ii		M	1	1	2, 6, 3		2	2
24	22	0	0	6/8	1	1	V(4)/ii	g	i		V(4)/ii	V			4	ii		M	1	1	3, 2, 4		3	3
24	22	3/8	3/8	6/8	1	1	V6/ii	g	i		V6/ii	V		6		ii		M	1	1	7, 4, 3		3	7
24	22	5/8	5/8	6/8	1	1	V/ii	g	i		V/ii	V				ii		M	1	1	3, 7, 4		3	3
24	22	1/4	1/4	6/8	1	2	V/ii	g	i		V/ii	V				ii		M	1	1	3, 7, 4		3	3
25	23	3/8	3/8	6/8	1	1	ii%43/#iii	g	i		ii%43/#iii	ii	%	43		#iii		%7	1	1	0, 4, 6, 3		6	0
26	24	0	0	6/8	1	1	V(4)/#iii	g	i		V(4)/#iii	V			4	#iii		M	1	1	5, 4, 6		5	5
26	24	1/8	1/8	6/8	1	1	V/#iii	g	i		V/#iii	V				#iii		M	1	1	5, 9, 6		5	5
27	25	3/8	3/8	6/8	1	1	ii%43/#iv	g	i		ii%43/#iv	ii	%	43		#iv		%7	1	1	2, 6, 8, 5		8	2
28	26	0	0	6/8	1	1	V(4)/#iv	g	i		V(4)/#iv	V			4	#iv		M	1	1	7, 6, 8		7	7
28	26	1/8	1/8	6/8	1	1	V/#iv	g	i		V/#iv	V				#iv		M	1	1	7, 11, 8		7	7
29	27	3/8	3/8	6/8	1	1	ii%43/vi	g	i		ii%43/vi	ii	%	43		vi		%7	1	1	-8, -4, -2, -5		-2	-8
30	28	0	0	6/8	1	1	V(4)/vi	g	i		V(4)/vi	V			4	vi		M	1	1	-3, -4, -2		-3	-3
30	28	1/8	1/8	6/8	1	1	V/vi	g	i		V/vi	V				vi		M	1	1	-3, 1, -2		-3	-3
32	30	0	0	6/8	1	1	vi	g	i		vi	vi						m	1	1	-4, -7, -3		-4	-4
34	32	0	0	6/8	1	1	.bIV	g	i		bIV	bIV						M	1	1	-8, -4, -7		-8	-8
35	33	0	0	6/8	1	1	.bII	g	i		bII	bII						M	1	1	-5, -1, -4		-5	-5
36	34	0	0	6/8	1	1	#vii	g	i		#vii	#vii						m	1	1	5, 2, 6		5	5
37	35	0	0	6/8	1	1	V}	g	i		V	V					}	M	1	1	1, 5, 2		1	1
39	37	5/8	5/8	6/8	1	1	i{	g	i		i	i					{	m	1	1	0, -3, 1		0	0
40	38	5/8	5/8	6/8	1	1	i64	g	i		i64	i		64				m	1	1	1, 0, -3		0	1
41	39	0	0	6/8	1	1	i6(#42)	g	i		i6(#42)	i		6	#42			m	1	1	-3, 6, 2		0	-3
41	39	3/8	3/8	6/8	1	1	i(2)	g	i		i(2)	i			2			m	1	1	2, -3, 1		0	2
41	39	5/8	5/8	6/8	1	1	i	g	i		i	i						m	1	1	0, -3, 1		0	0
41	39	1/4	1/4	6/8	1	2	i6	g	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
42	40	3/8	3/8	6/8	1	1	i64	g	i		i64	i		64				m	1	1	1, 0, -3		0	1
43	41	0	0	6/8	1	1	i6(#42)	g	i		i6(#42)	i		6	#42			m	1	1	-3, 6, 2		0	-3
43	41	3/8	3/8	6/8	1	1	i	g	i		i	i						m	1	1	0, -3, 1		0	0
43	41	1/8	1/8	6/8	1	2	i6	g	i		i6	i		6				m	1	1	-3, 1, 0		0	-3
43	41	1/4	1/4	6/8	1	2	i(2)	g	i		i(2)	i			2			m	1	1	2, -3, 1		0	2
44	42	0	0	6/8	1	1	i2	g	i		i2	i		2				mm7	1	1	-2, 0, -3, 1		0	-2
45	43	0	0	6/8	1	1	.biiM43	g	i		biiM43	bii	M	43				mM7	1	1	-4, 0, -5, -8		-5	-4
46	44	0	0	6/8	1	1	VI(9)	g	i		VI(9)	VI			9			M	1	1	-4, 0, -3	-2	-4	-4
46	44	1/8	1/8	6/8	1	1	VI	g	i		VI	VI						M	1	1	-4, 0, -3		-4	-4
46	44	3/8	3/8	6/8	1	1	V7(4)/V	g	i		V7(4)/V	V		7	4	V		Mm7	1	1	2, 1, 3, 0		2	2
46	44	1/2	1/2	6/8	1	1	V7/V	g	i		V7/V	V		7		V		Mm7	1	1	2, 6, 3, 0		2	2
47	45	0	0	6/8	1	1	V(4)}	g	i		V(4)	V			4		}	M	1	1	1, 0, 2		1	1
47	45	1/4	1/4	6/8	1	2	V	g	i		V	V						M	1	1	1, 5, 2		1	1
48	45	0	0	6/8	1	1	V(4)	g	i		V(4)	V			4			M	1	1	1, 0, 2		1	1
48	45	1/8	1/8	6/8	1	1	V	g	i		V	V						M	1	1	1, 5, 2		1	1
48	45	1/4	1/4	6/8	1	1	vo	g	i		vo	v	o					o	1	1	1, -2, -5		1	1
48	45	3/8	3/8	6/8	1	1	v%7	g	i		v%7	v	%	7				%7	1	1	1, -2, -5, -1		1	1
48	45	1/2	1/2	6/8	1	1	I}	g	i		I	I					}	M	1	1	0, 4, 1		0	0
48	45	5/8	5/8	6/8	1	1	iv[V7/iv{	g	i	iv	V7/iv	V		7		iv	{	Mm7	1	1	0, 4, 1, -2		0	0
50	47	0	0	6/8	1	1	iv(9)	g	i	iv	iv(9)	iv			9			m	1	1	-1, -4, 0	1	-1	-1
50	47	1/4	1/4	6/8	1	1	iv]	g	i	iv	iv	iv						m	1	1	-1, -4, 0		-1	-1
50	47	5/8	5/8	6/8	1	1	i[V7	g	i	i	V7	V		7				Mm7	1	1	1, 5, 2, -1		1	1
52	49	0	0	6/8	1	1	i(9)	g	i	i	i(9)	i			9			m	1	1	0, -3, 1	2	0	0
52	49	1/4	1/4	6/8	1	1	i]	g	i	i	i	i						m	1	1	0, -3, 1		0	0
52	49	5/8	5/8	6/8	1	1	iv[V7(b9)/iv	g	i	iv	V7(b9)/iv	V		7	b9	iv		Mm7	1	1	0, 4, 1, -2	-12	0	0
53	50	0	0	6/8	1	1	V7/iv	g	i	iv	V7/iv	V		7		iv		Mm7	1	1	0, 4, 1, -2		0	0
54	51	0	0	6/8	1	1	iv]	g	i	iv	iv	iv						m	1	1	-1, -4, 0		-1	-1
54	51	5/8	5/8	6/8	1	1	i[V7(9)	g	i	i	V7(9)	V		7	9			Mm7	1	1	1, 5, 2, -1	-4	1	1
55	52	0	0	6/8	1	1	V7	g	i	i	V7	V		7				Mm7	1	1	1, 5, 2, -1		1	1
56	53	0	0	6/8	1	1	i	g	i	i	i	i						m	1	1	0, -3, 1		0	0
56	53	5/8	5/8	6/8	1	1	i(b94)	g	i	i	i(b94)	i			b94			m	1	1	0, -1, 1	-5	0	0
57	54	0	0	6/8	1	1	i	g	i	i	i	i						m	1	1	0, -3, 1		0	0
57	54	5/8	5/8	6/8	1	1	i(b94)	g	i	i	i(b94)	i			b94			m	1	1	0, -1, 1	-5	0	0
58	55	0	0	6/8	1	1	I(4)	g	i	i	I(4)	I			4			M	1	1	0, -1, 1		0	0
58	55	1/8	1/8	6/8	1	1	I	g	i	i	I	I						M	1	1	0, 4, 1		0	0
58	55	1/4	1/4	6/8	1	1	I(b94)	g	i	i	I(b94)	I			b94			M	1	1	0, -1, 1	-5	0	0
