mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	2/4	1	1	.d.i[i{	d	i	i	i		i					{	m	1	1	0, -3, 1		0	0
3	3	3/8	3/8	2/4	1	1	iM7	d	i	i	iM7		i	M	7				mM7	1	1	0, -3, 1, 5		0	0
4	4	1/8	1/8	2/4	1	1	i7	d	i	i	i7		i		7				mm7	1	1	0, -3, 1, -2		0	0
4	4	3/8	3/8	2/4	1	1	i(+#6)	d	i	i	i(+#6)		i			+#6			m	1	1	0, -3, 1	3	0	0
5	5	1/8	1/8	2/4	1	1	i(+6)	d	i	i	i(+6)		i			+6			m	1	1	0, -3, 1	-4	0	0
5	5	3/8	3/8	2/4	1	1	i	d	i	i	i		i						m	1	1	0, -3, 1		0	0
6	6	0	0	2/4	1	1	V64(+4)/V	d	i	i	V64(+4)/V		V		64	+4	V		M	1	1	3, 2, 6	1	2	3
6	6	3/8	3/8	2/4	1	1	iv(+2)	d	i	i	iv(+2)		iv			+2			m	1	1	-1, -4, 0	1	-1	-1
7	7	3/8	3/8	2/4	1	1	ivM7(+2)	d	i	i	ivM7(+2)		iv	M	7	+2			mM7	1	1	-1, -4, 0, 4	1	-1	-1
8	8	1/8	1/8	2/4	1	1	iv7(+2)	d	i	i	iv7(+2)		iv		7	+2			mm7	1	1	-1, -4, 0, -3	1	-1	-1
8	8	3/8	3/8	2/4	1	1	iv(+6+2)	d	i	i	iv(+6+2)		iv			+6+2			m	1	1	-1, -4, 0	2, 1	-1	-1
9	9	1/8	1/8	2/4	1	1	iv(+b6+2)	d	i	i	iv(+b6+2)		iv			+b6+2			m	1	1	-1, -4, 0	-5, 1	-1	-1
9	9	3/8	3/8	2/4	1	1	iv(+2)	d	i	i	iv(+2)		iv			+2			m	1	1	-1, -4, 0	1	-1	-1
10	10	0	0	2/4	1	1	V]}	d	i	i	V		V					}	M	1	1	1, 5, 2		1	1
11	11	0	0	2/4	1	1	{	d	i									{		1	1				
11	11	1/8	1/8	2/4	1	1	VIM7	d	i		VIM7		VI	M	7				MM7	1	1	-4, 0, -3, 1		-4	-4
11	11	3/8	3/8	2/4	1	1	III	d	i		III		III						M	1	1	-3, 1, -2		-3	-3
12	12	1/8	1/8	2/4	1	1	iv7	d	i		iv7		iv		7				mm7	1	1	-1, -4, 0, -3		-1	-1
12	12	3/8	3/8	2/4	1	1	i	d	i		i		i						m	1	1	0, -3, 1		0	0
13	13	1/8	1/8	2/4	1	1	.bIIM7	d	i		bIIM7		bII	M	7				MM7	1	1	-5, -1, -4, 0		-5	-5
13	13	3/8	3/8	2/4	1	1	VI	d	i		VI		VI						M	1	1	-4, 0, -3		-4	-4
14	14	0	0	2/4	1	1	V	d	i		V		V						M	1	1	1, 5, 2		1	1
15	15	0	0	2/4	1	1	.bIIM7	d	i		bIIM7		bII	M	7				MM7	1	1	-5, -1, -4, 0		-5	-5
16	16	0	0	2/4	1	1	V	d	i		V		V						M	1	1	1, 5, 2		1	1
17	17	0	0	2/4	1	1	.bIIM7	d	i		bIIM7		bII	M	7				MM7	1	1	-5, -1, -4, 0		-5	-5
18	18	0	0	2/4	1	1	V	d	i		V		V						M	1	1	1, 5, 2		1	1
18	18	1/4	1/4	2/4	1	1	.bIIM7	d	i		bIIM7		bII	M	7				MM7	1	1	-5, -1, -4, 0		-5	-5
19	19	0	0	2/4	1	1	V	d	i		V		V						M	1	1	1, 5, 2		1	1
19	19	1/4	1/4	2/4	1	1	.bIIM7	d	i		bIIM7		bII	M	7				MM7	1	1	-5, -1, -4, 0		-5	-5
20	20	0	0	2/4	1	1	V	d	i		V		V						M	1	1	1, 5, 2		1	1
20	20	1/4	1/4	2/4	1	1	.bIIM7	d	i		bIIM7		bII	M	7				MM7	1	1	-5, -1, -4, 0		-5	-5
21	21	0	0	2/4	1	1	V	d	i		V		V						M	1	1	1, 5, 2		1	1
21	21	1/4	1/4	2/4	1	1	.bIIM7	d	i		bIIM7		bII	M	7				MM7	1	1	-5, -1, -4, 0		-5	-5
22	22	0	0	2/4	1	1	V	d	i		V		V						M	1	1	1, 5, 2		1	1
22	22	1/4	1/4	2/4	1	1	#viio2	d	i		#viio2		#vii	o	2				o7	1	1	-4, 5, 2, -1		5	-4
23	23	0	0	2/4	1	1	#vii64	d	i		#vii64		#vii		64				m	1	1	6, 5, 2		5	6
23	23	1/4	1/4	2/4	1	1	V	d	i		V		V						M	1	1	1, 5, 2		1	1
24	24	0	0	2/4	1	1	#viio2	d	i		#viio2		#vii	o	2				o7	1	1	-4, 5, 2, -1		5	-4
24	24	1/4	1/4	2/4	1	1	#vii%2	d	i		#vii%2		#vii	%	2				%7	1	1	3, 5, 2, -1		5	3
25	25	0	0	2/4	1	1	v6(+#3)	d	i		v6(+#3)		v		6	+#3			m	1	1	-2, 2, 1	5	1	-2
25	25	1/4	1/4	2/4	1	1	#vii%2	d	i		#vii%2		#vii	%	2				%7	1	1	3, 5, 2, -1		5	3
26	26	0	0	2/4	1	1	#viio2	d	i		#viio2		#vii	o	2				o7	1	1	-4, 5, 2, -1		5	-4
26	26	1/4	1/4	2/4	1	1	V	d	i		V		V						M	1	1	1, 5, 2		1	1
27	27	0	0	2/4	1	1	#vii64	d	i		#vii64		#vii		64				m	1	1	6, 5, 2		5	6
27	27	1/4	1/4	2/4	1	1	#viio43	d	i		#viio43		#vii	o	43				o7	1	1	-1, -4, 5, 2		5	-1
28	28	0	0	2/4	1	1	III	d	i		III		III						M	1	1	-3, 1, -2		-3	-3
28	28	1/4	1/4	2/4	1	1	vi64	d	i		vi64		vi		64				m	1	1	-3, -4, -7		-4	-3
29	29	0	0	2/4	1	1	V64	d	i		V64		V		64				M	1	1	2, 1, 5		1	2
29	29	1/4	1/4	2/4	1	1	.Fr6/iv	d	i		Fr6/iv	Fr	V		7	b5	V/iv		Fr	1	1	1, 5, -5, -1		1	1
30	30	0	0	2/4	1	1	i[i}{	d	i	i	i		i					}{	m	1	1	0, -3, 1		0	0
32	32	3/8	3/8	2/4	1	1	iM7	d	i	i	iM7		i	M	7				mM7	1	1	0, -3, 1, 5		0	0
33	33	1/8	1/8	2/4	1	1	i7	d	i	i	i7		i		7				mm7	1	1	0, -3, 1, -2		0	0
33	33	3/8	3/8	2/4	1	1	i(+#6)	d	i	i	i(+#6)		i			+#6			m	1	1	0, -3, 1	3	0	0
34	34	1/8	1/8	2/4	1	1	i(+6)	d	i	i	i(+6)		i			+6			m	1	1	0, -3, 1	-4	0	0
34	34	3/8	3/8	2/4	1	1	i	d	i	i	i		i						m	1	1	0, -3, 1		0	0
35	35	0	0	2/4	1	1	V64(+4)/V	d	i	i	V64(+4)/V		V		64	+4	V		M	1	1	3, 2, 6	1	2	3
35	35	3/8	3/8	2/4	1	1	iv(+2)	d	i	i	iv(+2)		iv			+2			m	1	1	-1, -4, 0	1	-1	-1
36	36	3/8	3/8	2/4	1	1	ivM7(+2)	d	i	i	ivM7(+2)		iv	M	7	+2			mM7	1	1	-1, -4, 0, 4	1	-1	-1
37	37	1/8	1/8	2/4	1	1	iv7(+2)	d	i	i	iv7(+2)		iv		7	+2			mm7	1	1	-1, -4, 0, -3	1	-1	-1
37	37	3/8	3/8	2/4	1	1	iv(+6+2)	d	i	i	iv(+6+2)		iv			+6+2			m	1	1	-1, -4, 0	2, 1	-1	-1
38	38	1/8	1/8	2/4	1	1	iv(+b6+2)	d	i	i	iv(+b6+2)		iv			+b6+2			m	1	1	-1, -4, 0	-5, 1	-1	-1
38	38	3/8	3/8	2/4	1	1	iv(+2)	d	i	i	iv(+2)		iv			+2			m	1	1	-1, -4, 0	1	-1	-1
39	39	0	0	2/4	1	1	V}	d	i	i	V		V					}	M	1	1	1, 5, 2		1	1
40	40	0	0	2/4	1	1	i{	d	i	i	i		i					{	m	1	1	0, -3, 1		0	0
40	40	1/4	1/4	2/4	1	1	VII6	d	i	i	VII6		VII		6				M	1	1	2, -1, -2		-2	2
41	41	0	0	2/4	1	1	VI6	d	i	i	VI6		VI		6				M	1	1	0, -3, -4		-4	0
41	41	1/4	1/4	2/4	1	1	v6	d	i	i	v6		v		6				m	1	1	-2, 2, 1		1	-2
42	42	0	0	2/4	1	1	iv6	d	i	i	iv6		iv		6				m	1	1	-4, 0, -1		-1	-4
42	42	1/4	1/4	2/4	1	1	III6	d	i	i	III6		III		6				M	1	1	1, -2, -3		-3	1
43	43	0	0	2/4	1	1	v2	d	i	i	v2		v		2				mm7	1	1	-1, 1, -2, 2		1	-1
44	44	0	0	2/4	1	1	VI6	d	i	i	VI6		VI		6				M	1	1	0, -3, -4		-4	0
44	44	1/4	1/4	2/4	1	1	v6	d	i	i	v6		v		6				m	1	1	-2, 2, 1		1	-2
45	45	0	0	2/4	1	1	iv6	d	i	i	iv6		iv		6				m	1	1	-4, 0, -1		-1	-4
45	45	1/4	1/4	2/4	1	1	III6	d	i	i	III6		III		6				M	1	1	1, -2, -3		-3	1
46	46	0	0	2/4	1	1	.bII6	d	i	i	bII6		bII		6				M	1	1	-1, -4, -5		-5	-1
46	46	1/4	1/4	2/4	1	1	i	d	i	i	i		i						m	1	1	0, -3, 1		0	0
47	47	0	0	2/4	1	1	v64	d	i	i	v64		v		64				m	1	1	2, 1, -2		1	2
48	48	0	0	2/4	1	1	i	d	i	i	i		i						m	1	1	0, -3, 1		0	0
48	48	1/4	1/4	2/4	1	1	VII6	d	i	i	VII6		VII		6				M	1	1	2, -1, -2		-2	2
49	49	0	0	2/4	1	1	VI6	d	i	i	VI6		VI		6				M	1	1	0, -3, -4		-4	0
49	49	1/4	1/4	2/4	1	1	v6	d	i	i	v6		v		6				m	1	1	-2, 2, 1		1	-2
50	50	0	0	2/4	1	1	iv6	d	i	i	iv6		iv		6				m	1	1	-4, 0, -1		-1	-4
50	50	1/4	1/4	2/4	1	1	III6	d	i	i	III6		III		6				M	1	1	1, -2, -3		-3	1
51	51	0	0	2/4	1	1	v2	d	i	i	v2		v		2				mm7	1	1	-1, 1, -2, 2		1	-1
52	52	0	0	2/4	1	1	VI6	d	i	i	VI6		VI		6				M	1	1	0, -3, -4		-4	0
52	52	1/4	1/4	2/4	1	1	v6	d	i	i	v6		v		6				m	1	1	-2, 2, 1		1	-2
53	53	0	0	2/4	1	1	iv6	d	i	i	iv6		iv		6				m	1	1	-4, 0, -1		-1	-4
53	53	1/4	1/4	2/4	1	1	III6	d	i	i	III6		III		6				M	1	1	1, -2, -3		-3	1
54	54	0	0	2/4	1	1	.bII6	d	i	i	bII6		bII		6				M	1	1	-1, -4, -5		-5	-1
54	54	1/4	1/4	2/4	1	1	i	d	i	i	i		i						m	1	1	0, -3, 1		0	0
55	55	0	0	2/4	1	1	v64]	d	i	i	v64		v		64				m	1	1	2, 1, -2		1	2
56	56	0	0	2/4	1	1	.bIIM7(+4)	d	i		bIIM7(+4)		bII	M	7	+4			MM7	1	1	-5, -1, -4, 0	1	-5	-5
57	57	0	0	2/4	1	1	i(9)	d	i		i(9)		i			9			m	1	1	0, -3, 1	2	0	0
58	58	0	0	2/4	1	1	.bIIM7(+4)	d	i		bIIM7(+4)		bII	M	7	+4			MM7	1	1	-5, -1, -4, 0	1	-5	-5
59	59	0	0	2/4	1	1	i(9)	d	i		i(9)		i			9			m	1	1	0, -3, 1	2	0	0
59	59	1/4	1/4	2/4	1	1	.bIIM7(+4)	d	i		bIIM7(+4)		bII	M	7	+4			MM7	1	1	-5, -1, -4, 0	1	-5	-5
60	60	0	0	2/4	1	1	i(9)	d	i		i(9)		i			9			m	1	1	0, -3, 1	2	0	0
60	60	1/4	1/4	2/4	1	1	.bIIM7(+4)	d	i		bIIM7(+4)		bII	M	7	+4			MM7	1	1	-5, -1, -4, 0	1	-5	-5
61	61	0	0	2/4	1	1	i(9)	d	i		i(9)		i			9			m	1	1	0, -3, 1	2	0	0
61	61	1/4	1/4	2/4	1	1	.bIIM7(+4)	d	i		bIIM7(+4)		bII	M	7	+4			MM7	1	1	-5, -1, -4, 0	1	-5	-5
62	62	0	0	2/4	1	1	i(9)	d	i		i(9)		i			9			m	1	1	0, -3, 1	2	0	0
62	62	1/4	1/4	2/4	1	1	.bIIM7(+4)	d	i		bIIM7(+4)		bII	M	7	+4			MM7	1	1	-5, -1, -4, 0	1	-5	-5
63	63	0	0	2/4	1	1	i[i}{	d	i	i	i		i					}{	m	1	1	0, -3, 1		0	0
64	64	3/8	3/8	2/4	1	1	iM7	d	i	i	iM7		i	M	7				mM7	1	1	0, -3, 1, 5		0	0
65	65	1/8	1/8	2/4	1	1	i7	d	i	i	i7		i		7				mm7	1	1	0, -3, 1, -2		0	0
65	65	3/8	3/8	2/4	1	1	i(+#6)	d	i	i	i(+#6)		i			+#6			m	1	1	0, -3, 1	3	0	0
66	66	1/8	1/8	2/4	1	1	i(+6)	d	i	i	i(+6)		i			+6			m	1	1	0, -3, 1	-4	0	0
66	66	3/8	3/8	2/4	1	1	i]}	d	i	i	i		i					}	m	1	1	0, -3, 1		0	0
71	71	0	0	2/4	1	1	I.I{	d	I		I		I					{	M	1	0	0, 4, 1		0	0
72	72	0	0	2/4	1	1	vi	d	I		vi		vi						m	1	0	3, 0, 4		3	3
73	73	0	0	2/4	1	1	IM7	d	I		IM7		I	M	7				MM7	1	0	0, 4, 1, 5		0	0
74	74	0	0	2/4	1	1	vi	d	I		vi		vi						m	1	0	3, 0, 4		3	3
75	75	0	0	2/4	1	1	I	d	I		I		I						M	1	0	0, 4, 1		0	0
76	76	0	0	2/4	1	1	vi	d	I		vi		vi						m	1	0	3, 0, 4		3	3
76	76	1/4	1/4	2/4	1	1	vio	d	I		vio		vi	o					o	1	0	3, 0, -3		3	3
