mc	mn	onset	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	5/8	.d.i(+6)	d	i		i(+6)	i			+6			m	1	1	0, -3, 1	-4	0	0
2	1	0	i	d	i		i	i						m	1	1	0, -3, 1		0	0
2	1	5/8	IV(+6)	d	i		IV(+6)	IV			+6			M	1	1	-1, 3, 0	2	-1	-1
3	2	0	IV	d	i		IV	IV						M	1	1	-1, 3, 0		-1	-1
3	2	5/8	i(+6)	d	i		i(+6)	i			+6			m	1	1	0, -3, 1	-4	0	0
4	3	1/4	VI(+6)	d	i		VI(+6)	VI			+6			M	1	1	-4, 0, -3	-1	-4	-4
4	3	5/8	i(+6)	d	i		i(+6)	i			+6			m	1	1	0, -3, 1	-4	0	0
5	4	0	i	d	i		i	i						m	1	1	0, -3, 1		0	0
5	4	5/8	III(+6)	d	i		III(+6)	III			+6			M	1	1	-3, 1, -2	0	-3	-3
6	5	0	III	d	i		III	III						M	1	1	-3, 1, -2		-3	-3
6	5	5/8	v(+6)	d	i		v(+6)	v			+6			m	1	1	1, -2, 2	-3	1	1
7	6	1/4	V(6)/v	d	i		V(6)/v	V			6	v		M	1	1	2, 6, -2		2	2
8	7	0	V7(6)/v	d	i		V7(6)/v	V		7	6	v		Mm7	1	1	2, 6, -2, 0		2	2
9	8	0	v\\	d	i		v	v					\\	m	1	1	1, -2, 2		1	1
10	8	5/8	ii%43(+6)	d	i		ii%43(+6)	ii	%	43	+6			%7	1	1	8, 0, 2, 1	-2	2	8
14	12	0	V	d	i		V	V						M	1	1	1, 5, 2		1	1
15	13	1/4	V6(+#2)	d	i		V6(+#2)	V		6	+#2			M	1	1	5, 2, 1	3	1	5
15	13	3/8	#IV6	d	i		#IV6	#IV		6				M	1	1	10, 7, 6		6	10
15	13	5/8	IV6(+2)	d	i		IV6(+2)	IV		6	+2			M	1	1	3, 0, -1	1	-1	3
16	14	0	#III6	d	i		#III6	#III		6				M	1	1	8, 5, 4		4	8
16	14	1/4	III6(+2)	d	i		III6(+2)	III		6	+2			M	1	1	1, -2, -3	-1	-3	1
16	14	3/8	II6	d	i		II6	II		6				M	1	1	6, 3, 2		2	6
16	14	5/8	I6(+2)	d	i		I6(+2)	I		6	+2			M	1	1	4, 1, 0	2	0	4
17	15	0	III+	d	i		III+	III	+					+	1	1	-3, 1, 5		-3	-3
17	15	1/4	v64	d	i		v64	v		64				m	1	1	2, 1, -2		1	2
17	15	3/8	V65/ii	d	i		V65/ii	V		65		ii		Mm7	1	1	7, 4, 1, 3		3	7
17	15	5/8	V2(b5)/V	d	i		V2(b5)/V	V		2	b5	V		Mm7	1	1	0, 2, 6, -4		2	0
18	16	0	V6	d	i		V6	V		6				M	1	1	5, 2, 1		1	5
18	16	1/4	V	d	i		V	V						M	1	1	1, 5, 2		1	1
18	16	5/8	V2(b5)/V	d	i		V2(b5)/V	V		2	b5	V		Mm7	1	1	0, 2, 6, -4		2	0
19	17	0	V6	d	i		V6	V		6				M	1	1	5, 2, 1		1	5
19	17	1/4	V	d	i		V	V						M	1	1	1, 5, 2		1	1
19	17	5/8	V2(b5)/V	d	i		V2(b5)/V	V		2	b5	V		Mm7	1	1	0, 2, 6, -4		2	0
20	18	0	V6	d	i		V6	V		6				M	1	1	5, 2, 1		1	5
20	18	1/4	V	d	i		V	V						M	1	1	1, 5, 2		1	1
20	18	5/8	V2(b5)/V	d	i		V2(b5)/V	V		2	b5	V		Mm7	1	1	0, 2, 6, -4		2	0
21	19	0	V6	d	i		V6	V		6				M	1	1	5, 2, 1		1	5
21	19	1/4	V2(b5)/V	d	i		V2(b5)/V	V		2	b5	V		Mm7	1	1	0, 2, 6, -4		2	0
21	19	3/8	V6	d	i		V6	V		6				M	1	1	5, 2, 1		1	5
21	19	5/8	V2(b5)/V	d	i		V2(b5)/V	V		2	b5	V		Mm7	1	1	0, 2, 6, -4		2	0
22	20	0	V6	d	i		V6	V		6				M	1	1	5, 2, 1		1	5
22	20	1/4	V2(b5)/V	d	i		V2(b5)/V	V		2	b5	V		Mm7	1	1	0, 2, 6, -4		2	0
22	20	3/8	V6	d	i		V6	V		6				M	1	1	5, 2, 1		1	5
22	20	5/8	i(+6)	d	i		i(+6)	i			+6			m	1	1	0, -3, 1	-4	0	0
23	21	5/8	IV(+6)	d	i		IV(+6)	IV			+6			M	1	1	-1, 3, 0	2	-1	-1
24	22	5/8	i(+6)	d	i		i(+6)	i			+6			m	1	1	0, -3, 1	-4	0	0
25	23	1/4	VI(+6)	d	i		VI(+6)	VI			+6			M	1	1	-4, 0, -3	-1	-4	-4
25	23	5/8	i(+6)	d	i		i(+6)	i			+6			m	1	1	0, -3, 1	-4	0	0
26	24	5/8	.bI+(+6)	d	i		bI+(+6)	bI	+		+6			+	1	1	-7, -3, 1	-4	-7	-7
27	25	5/8	III(+6)	d	i		III(+6)	III			+6			M	1	1	-3, 1, -2	0	-3	-3
28	26	9/16	V7(6)	d	i		V7(6)	V		7	6			Mm7	1	1	1, 5, -3, -1		1	1
30	28	0	i\\	d	i		i	i					\\	m	1	1	0, -3, 1		0	0
31	28	5/8	v%43(+6)	d	i		v%43(+6)	v	%	43	+6			%7	1	1	7, -1, 1, 0	-3	1	7
36	33	0	I	d	i		I	I						M	1	1	0, 4, 1		0	0
38	35	3/8	V7(94)	d	i		V7(94)	V		7	94			Mm7	1	1	1, 0, 2, -1	-4	1	1
39	36	0	I\\	d	i		I	I					\\	M	1	1	0, 4, 1		0	0
