mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	1.0	0	1/2	3/4	2	1	f#.V{		f#	i		V		V						{	M	1	1	1, 5, 2		1	1
2	1	1	1.0	0	0	3/4	2	1	i		f#	i		i		i							m	1	1	0, -3, 1		0	0
2	1	2	1.0	1/4	1/4	3/4	2	1	#viio7		f#	i		#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
2	1	3	1.0	1/2	1/2	3/4	2	1	#viio7(4)		f#	i		#viio7(4)		#vii	o	7	4				o7	1	1	5, -3, -1, -4		5	5
3	2	4	1.0	0	0	3/4	2	1	i		f#	i		i		i							m	1	1	0, -3, 1		0	0
3	2	5	1.0	1/4	1/4	3/4	2	1	#viio65		f#	i		#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
3	2	6	0.5	1/2	1/2	3/4	2	1	iv64	#viio7(2)	f#	i		iv64		iv		64					m	1	1	0, -1, -4		-1	0
3	2	13/2	0.5	5/8	5/8	3/4	2	1	#viio7		f#	i		#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
4	3	7	1.0	0	0	3/4	2	1	i		f#	i		i		i							m	1	1	0, -3, 1		0	0
4	3	8	0.5	1/4	1/4	3/4	2	1	ii%7(4)		f#	i		ii%7(4)		ii	%	7	4				%7	1	1	2, 1, -4, 0		2	2
4	3	17/2	1.5	3/8	3/8	3/4	2	1	ii%7		f#	i		ii%7		ii	%	7					%7	1	1	2, -1, -4, 0		2	2
5	4	10	4.0	0	0	3/4	2	1	i		f#	i		i		i							m	1	1	0, -3, 1		0	0
6	5	14	2.0	1/4	1/4	3/4	2	1	#viio7		f#	i		#viio7		#vii	o	7					o7	1	1	5, 2, -1, -4		5	5
7	6	16	1.0	0	0	3/4	2	1	iv64	i(64)	f#	i		iv64		iv		64					m	1	1	0, -1, -4		-1	0
7	6	17	1.0	1/4	1/4	3/4	2	1	#viio65		f#	i		#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
7	6	18	1.0	1/2	1/2	3/4	2	1	iv64	i(64)	f#	i		iv64		iv		64					m	1	1	0, -1, -4		-1	0
8	7	19	0.5	0	0	3/4	2	1	VII		f#	i		VII		VII							M	1	1	-2, 2, -1		-2	-2
8	7	39/2	0.5	1/8	1/8	3/4	2	1	v6		f#	i		v6		v		6					m	1	1	-2, 2, 1		1	-2
8	7	20	0.5	1/4	1/4	3/4	2	1	bII6		f#	i		bII6		bII		6					M	1	1	-1, -4, -5		-5	-1
8	7	41/2	0.5	3/8	3/8	3/4	2	1	iv		f#	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
8	7	21	1.0	1/2	1/2	3/4	2	1	V		f#	i		V		V							M	1	1	1, 5, 2		1	1
9	8	22	1.0	0	0	3/4	2	1	i(9#74)}		f#	i		i(9#74)		i			9#74			}	m	1	1	0, -1, 1	2, 5	0	0
9	8	23	2.0	1/4	1/4	3/4	2	1	i|PAC		f#	i		i		i					PAC		m	1	1	0, -3, 1		0	0
10	9	25	1.0	0	0	3/4	2	1	i6{		f#	i		i6		i		6				{	m	1	1	-3, 1, 0		0	-3
10	9	26	1.0	1/4	1/4	3/4	2	1	V43(+4)		f#	i		V43(+4)		V		43	+4				Mm7	1	1	2, -1, 1, 5	0	1	2
10	9	27	1.0	1/2	1/2	3/4	2	1	i6		f#	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
11	10	28	1.0	0	0	3/4	2	1	III.IV6		f#	III		IV6		IV		6					M	1	0	3, 0, -1		-1	3
11	10	29	1.0	1/4	1/4	3/4	2	1	V43(+4)/IV		f#	III		V43(+4)/IV		V		43	+4	IV			Mm7	1	0	1, -2, 0, 4	-1	0	1
11	10	30	1.0	1/2	1/2	3/4	2	1	IV6		f#	III		IV6		IV		6					M	1	0	3, 0, -1		-1	3
12	11	31	1.0	0	0	3/4	2	1	I6		f#	III		I6		I		6					M	1	0	4, 1, 0		0	4
12	11	32	1.0	1/4	1/4	3/4	2	1	V43(+4)		f#	III		V43(+4)		V		43	+4				Mm7	1	0	2, -1, 1, 5	0	1	2
12	11	33	1.0	1/2	1/2	3/4	2	1	IM65		f#	III		IM65		I	M	65					MM7	1	0	4, 1, 5, 0		0	4
13	12	34	1.0	0	0	3/4	2	1	V7(9)		f#	III		V7(9)		V		7	9				Mm7	1	0	1, 5, 2, -1	3	1	1
13	12	35	2.0	1/4	1/4	3/4	2	1	I|IAC}		f#	III		I		I					IAC	}	M	1	0	0, 4, 1		0	0
